VRBORAN 110/35/10 TR1 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 110/35/10 TR2 POLOŽAJ REG SKLOPKE ;;;;VRBORAN 35 TP1 STRUJA ;;;;VRBORAN 35 TP1 RADNA SNAGA ;;;;VRBORAN 35 TP1 JALOVA SNAGA ;;;;VRBORAN 35 TP1 NAPON ;;;;VRBORAN 35 TP2 STRUJA ;;;;VRBORAN 35 TP2 RADNA SNAGA ;;;;VRBORAN 35 TP2 JALOVA SNAGA ;;;;VRBORAN 35 TP2 NAPON ;;;;
4.12.2024. 10:16:02;;1;;4.12.2024. 10:16:08;;2;;4.12.2024. 9:49:04;;67,799728;;4.12.2024. 9:48:38;;4,047426;;4.12.2024. 9:48:38;;-0,823005;;4.12.2024. 9:48:54;;35,080894;;4.12.2024. 9:49:00;;69,100288;;4.12.2024. 9:49:04;;4,093868;;4.12.2024. 9:48:34;;1,171193;;4.12.2024. 9:49:04;;34,974056;;
4.12.2024. 10:17:04;;6;;4.12.2024. 10:17:04;;6;;4.12.2024. 9:49:28;;67,824768;;4.12.2024. 9:50:04;;4,104526;;4.12.2024. 9:49:36;;-0,771318;;4.12.2024. 9:49:44;;35,309959;;4.12.2024. 9:49:38;;69,982445;;4.12.2024. 9:49:46;;4,094055;;4.12.2024. 9:49:36;;1,204475;;4.12.2024. 9:49:50;;35,154682;;
4.12.2024. 10:17:36;;6;;4.12.2024. 10:17:38;;6;;4.12.2024. 9:50:56;;66,587563;;4.12.2024. 9:50:56;;3,97081;;4.12.2024. 9:50:44;;-0,861119;;4.12.2024. 9:50:56;;34,665802;;4.12.2024. 9:50:56;;67,289795;;4.12.2024. 9:50:56;;3,975242;;4.12.2024. 9:50:52;;1,061936;;4.12.2024. 9:50:56;;34,568119;;
4.12.2024. 10:18:56;;3;;4.12.2024. 10:18:56;;3;;4.12.2024. 9:50:58;;66,587563;;4.12.2024. 9:51:12;;3,97081;;4.12.2024. 9:51:12;;-0,842099;;4.12.2024. 9:51:12;;34,500748;;4.12.2024. 9:52:30;;65,826309;;4.12.2024. 9:52:46;;3,891221;;4.12.2024. 9:51:10;;1,059484;;4.12.2024. 9:51:12;;34,358761;;
4.12.2024. 10:20:48;;3;;4.12.2024. 10:20:48;;3;;4.12.2024. 9:52:28;;69,771805;;4.12.2024. 9:52:28;;4,090508;;4.12.2024. 9:52:26;;-0,764041;;4.12.2024. 9:52:04;;34,933876;;4.12.2024. 9:52:48;;69,079361;;4.12.2024. 9:52:48;;4,065791;;4.12.2024. 9:52:08;;1,166299;;4.12.2024. 9:52:48;;34,819363;;
4.12.2024. 10:22:40;;3;;4.12.2024. 10:22:40;;3;;4.12.2024. 9:52:52;;69,33123;;4.12.2024. 9:53:02;;4,2227;;4.12.2024. 9:53:14;;-0,839353;;4.12.2024. 9:53:02;;34,839699;;4.12.2024. 9:53:00;;66,325645;;4.12.2024. 9:53:00;;3,884218;;4.12.2024. 9:52:58;;1,091264;;4.12.2024. 9:53:02;;34,719456;;
4.12.2024. 10:23:54;;3;;4.12.2024. 10:23:54;;3;;4.12.2024. 9:53:18;;66,619057;;4.12.2024. 9:53:16;;4,010396;;4.12.2024. 9:54:02;;-0,740689;;4.12.2024. 9:53:42;;35,061787;;4.12.2024. 9:54:12;;69,913162;;4.12.2024. 9:54:38;;4,156361;;4.12.2024. 9:54:10;;1,213429;;4.12.2024. 9:53:20;;34,942635;;
4.12.2024. 10:24:32;;4;;4.12.2024. 10:24:32;;5;;4.12.2024. 9:55:50;;68,900497;;4.12.2024. 9:55:48;;4,215474;;4.12.2024. 9:54:54;;-0,727754;;4.12.2024. 9:54:52;;34,922226;;4.12.2024. 9:55:36;;70,231735;;4.12.2024. 9:55:48;;4,20574;;4.12.2024. 9:55:20;;1,216102;;4.12.2024. 9:55:34;;35,186691;;
4.12.2024. 10:26:24;;4;;4.12.2024. 10:25:42;;5;;4.12.2024. 9:56:32;;67,36657;;4.12.2024. 9:56:32;;4,035295;;4.12.2024. 9:56:32;;-0,843248;;4.12.2024. 9:55:36;;35,334675;;4.12.2024. 9:56:26;;68,237289;;4.12.2024. 9:56:32;;4,035468;;4.12.2024. 9:56:32;;1,097199;;4.12.2024. 9:56:22;;34,775307;;
4.12.2024. 10:26:58;;4;;4.12.2024. 10:26:24;;4;;4.12.2024. 9:56:48;;66,73793;;4.12.2024. 9:57:38;;3,960144;;4.12.2024. 9:57:36;;-0,861489;;4.12.2024. 9:56:40;;34,955509;;4.12.2024. 9:57:50;;68,939407;;4.12.2024. 9:56:38;;4,035468;;4.12.2024. 9:57:12;;1,106106;;4.12.2024. 9:56:34;;34,887207;;
4.12.2024. 10:28:16;;3;;4.12.2024. 10:28:16;;4;;4.12.2024. 9:57:58;;68,91246;;4.12.2024. 9:57:56;;4,142571;;4.12.2024. 9:58:16;;0,20636;;4.12.2024. 9:58:14;;34,395405;;4.12.2024. 9:58:06;;64,94558;;4.12.2024. 9:58:10;;3,876436;;4.12.2024. 9:58:04;;0,092182;;4.12.2024. 9:58:16;;34,251621;;
4.12.2024. 10:30:08;;3;;4.12.2024. 10:30:08;;4;;4.12.2024. 9:59:24;;69,900803;;4.12.2024. 9:59:24;;4,413341;;4.12.2024. 9:58:28;;-0,809997;;4.12.2024. 9:58:28;;34,511921;;4.12.2024. 9:59:28;;70,528038;;4.12.2024. 9:59:30;;4,289225;;4.12.2024. 9:59:28;;1,400908;;4.12.2024. 9:58:26;;34,361843;;
4.12.2024. 10:32:00;;3;;4.12.2024. 10:32:00;;4;;4.12.2024. 9:59:58;;67,775398;;4.12.2024. 9:59:40;;4,026693;;4.12.2024. 9:59:24;;0,462199;;4.12.2024. 9:59:30;;36,616009;;4.12.2024. 9:59:42;;63,947594;;4.12.2024. 9:59:48;;3,881112;;4.12.2024. 10:00:04;;-0,00182;;4.12.2024. 9:59:30;;36,531128;;
4.12.2024. 10:33:52;;3;;4.12.2024. 10:33:52;;4;;4.12.2024. 10:00:22;;68,34169;;4.12.2024. 10:00:26;;4,144137;;4.12.2024. 10:00:18;;0,108954;;4.12.2024. 10:00:26;;34,832851;;4.12.2024. 10:00:22;;64,746475;;4.12.2024. 10:00:30;;3,912433;;4.12.2024. 10:00:56;;0,038003;;4.12.2024. 10:00:22;;34,709305;;
4.12.2024. 10:35:44;;3;;4.12.2024. 10:35:44;;4;;4.12.2024. 10:02:08;;66,371765;;4.12.2024. 10:02:08;;4,067419;;4.12.2024. 10:01:52;;0,187267;;4.12.2024. 10:01:02;;34,781002;;4.12.2024. 10:02:08;;62,846382;;4.12.2024. 10:01:10;;3,83286;;4.12.2024. 10:01:14;;0,09922;;4.12.2024. 10:01:02;;34,661831;;
4.12.2024. 10:37:36;;3;;4.12.2024. 10:37:36;;4;;4.12.2024. 10:02:50;;67,251488;;4.12.2024. 10:02:20;;4,067419;;4.12.2024. 10:02:26;;0,117112;;4.12.2024. 10:02:20;;34,80442;;4.12.2024. 10:02:22;;63,451092;;4.12.2024. 10:02:54;;3,846125;;4.12.2024. 10:02:28;;0,043149;;4.12.2024. 10:02:52;;34,671009;;
4.12.2024. 10:39:28;;3;;4.12.2024. 10:39:28;;4;;4.12.2024. 10:04:00;;65,488297;;4.12.2024. 10:04:00;;4,012382;;4.12.2024. 10:03:58;;0,232705;;4.12.2024. 10:03:08;;34,75898;;4.12.2024. 10:04:00;;61,977478;;4.12.2024. 10:04:00;;3,777881;;4.12.2024. 10:03:58;;0,126287;;4.12.2024. 10:03:16;;34,647987;;
4.12.2024. 10:41:20;;3;;4.12.2024. 10:41:20;;4;;4.12.2024. 10:04:28;;65,407326;;4.12.2024. 10:04:34;;4,01151;;4.12.2024. 10:04:26;;0,139448;;4.12.2024. 10:04:28;;34,791691;;4.12.2024. 10:04:30;;61,871109;;4.12.2024. 10:04:06;;3,777881;;4.12.2024. 10:04:26;;0,057445;;4.12.2024. 10:04:24;;34,668736;;
4.12.2024. 10:43:12;;3;;4.12.2024. 10:43:12;;4;;4.12.2024. 10:05:40;;67,145279;;4.12.2024. 10:05:42;;4,064695;;4.12.2024. 10:04:38;;0,187256;;4.12.2024. 10:05:48;;34,54052;;4.12.2024. 10:05:42;;63,235237;;4.12.2024. 10:05:40;;3,84853;;4.12.2024. 10:04:38;;0,098639;;4.12.2024. 10:04:40;;34,358402;;
