METERIZ 110 HE ZAK/2 STRUJA ;;;;METERIZ 110 HE ZAK/2 RADNA SNAGA ;;;;METERIZ 110 HE ZAK/2 JALOVA SNAGA ;;;;METERIZ 110 HE ZAK/2 NAPON ;;;;HE ZAK 110 METERIZ/2 STRUJA ;;;;HE ZAK 110 METERIZ/2 RADNA SNAGA ;;;;HE ZAK 110 METERIZ/2 JALOVA SNAGA ;;;;HE ZAK 110 METERIZ/2 NAPON ;;;;
4.12.2024. 10:16:56;;0;;4.12.2024. 10:15:24;;-0,026896;;4.12.2024. 10:15:24;;0,760675;;4.12.2024. 9:44:48;;118,619644;;4.12.2024. 10:16:56;;0;;4.12.2024. 10:15:24;;0,001978;;4.12.2024. 10:16:56;;-0,00218;;4.12.2024. 9:45:22;;118,723305;;
4.12.2024. 10:18:28;;0;;4.12.2024. 10:16:56;;-0,026896;;4.12.2024. 10:16:56;;0,760675;;4.12.2024. 9:46:16;;118,562233;;4.12.2024. 10:18:28;;0;;4.12.2024. 10:16:56;;0,001978;;4.12.2024. 10:18:28;;-0,00218;;4.12.2024. 9:45:48;;118,663979;;
4.12.2024. 10:20:00;;0;;4.12.2024. 10:18:28;;-0,026896;;4.12.2024. 10:18:28;;0,760675;;4.12.2024. 9:46:54;;118,562233;;4.12.2024. 10:20:00;;0;;4.12.2024. 10:18:28;;0,001978;;4.12.2024. 10:20:00;;-0,00218;;4.12.2024. 9:46:44;;118,674263;;
4.12.2024. 10:21:32;;0;;4.12.2024. 10:20:00;;-0,026896;;4.12.2024. 10:20:00;;0,760675;;4.12.2024. 9:47:48;;118,591187;;4.12.2024. 10:21:32;;0;;4.12.2024. 10:20:00;;0,001978;;4.12.2024. 10:21:32;;-0,00218;;4.12.2024. 9:47:48;;118,757011;;
4.12.2024. 10:23:04;;0;;4.12.2024. 10:21:32;;-0,026896;;4.12.2024. 10:21:32;;0,760675;;4.12.2024. 9:47:52;;118,591187;;4.12.2024. 10:23:04;;0;;4.12.2024. 10:21:32;;0,001978;;4.12.2024. 10:23:04;;-0,00218;;4.12.2024. 9:49:14;;118,774658;;
4.12.2024. 10:24:36;;0;;4.12.2024. 10:23:04;;-0,026896;;4.12.2024. 10:23:04;;0,760675;;4.12.2024. 9:49:20;;118,634125;;4.12.2024. 10:24:36;;0;;4.12.2024. 10:23:04;;0,001978;;4.12.2024. 10:24:36;;-0,00218;;4.12.2024. 9:49:20;;118,734276;;
4.12.2024. 10:26:08;;0;;4.12.2024. 10:24:36;;-0,026896;;4.12.2024. 10:24:36;;0,760675;;4.12.2024. 9:49:28;;118,634125;;4.12.2024. 10:26:08;;0;;4.12.2024. 10:23:34;;0,001978;;4.12.2024. 10:26:08;;-0,00218;;4.12.2024. 9:50:28;;118,763992;;
4.12.2024. 10:27:40;;0;;4.12.2024. 10:26:08;;-0,026896;;4.12.2024. 10:26:08;;0,760675;;4.12.2024. 9:50:52;;118,575714;;4.12.2024. 10:27:40;;0;;4.12.2024. 10:24:36;;-0,002546;;4.12.2024. 10:27:40;;-0,00218;;4.12.2024. 9:50:52;;118,726158;;
4.12.2024. 10:29:12;;0;;4.12.2024. 10:27:40;;-0,026896;;4.12.2024. 10:26:50;;0,760675;;4.12.2024. 9:51:10;;118,575714;;4.12.2024. 10:29:12;;0;;4.12.2024. 10:26:08;;-0,002546;;4.12.2024. 10:29:12;;-0,00218;;4.12.2024. 9:51:14;;118,726158;;
4.12.2024. 10:30:44;;0;;4.12.2024. 10:29:12;;-0,026896;;4.12.2024. 10:27:40;;0,742469;;4.12.2024. 9:52:24;;118,632362;;4.12.2024. 10:30:44;;0;;4.12.2024. 10:27:40;;-0,002546;;4.12.2024. 10:29:24;;-0,00218;;4.12.2024. 9:52:06;;118,777336;;
